fileurl,name,website,author
https://feodotracker.abuse.ch/downloads/ipblocklist.csv,,,
https://hosts-file.net/psh.txt,,,
https://hosts-file.net/emd.txt,,,
https://openphish.com/feed.txt,,,
https://raw.githubusercontent.com/ktsaou/blocklist-ipsets/master/firehol_level1.netset,,,
https://osint.bambenekconsulting.com/feeds/c2-ipmasterlist-high.txt,,,
https://osint.bambenekconsulting.com/feeds/c2-dommasterlist-high.txt,,,
https://cinsscore.com/list/ci-badguys.txt,,,
https://reputation.alienvault.com/reputation.generic,,,
https://lists.blocklist.de/lists/all.txt,,,
https://dataplane.org/vncrfb.txt,,,
https://dataplane.org/sshpwauth.txt,,,
https://dataplane.org/sipregistration.txt,,,
https://dataplane.org/sipquery.txt,,,
https://dataplane.org/sipinvitation.txt,,,
http://osint.bambenekconsulting.com/feeds/dga-feed-high.csv,,,
http://vxvault.net/URL_List.php,,,
https://sslbl.abuse.ch/blacklist/sslipblacklist.csv,,,
https://sslbl.abuse.ch/blacklist/dyre_sslipblacklist.csv,,,
https://cybercrime-tracker.net/ccamlist.php,,,
https://cybercrime-tracker.net/ccamgate.php,,,
https://hosts-file.net/grm.txt,,,
https://blocklist.greensnow.co/greensnow.txt,,,
https://gitlab.com/ZeroDot1/CoinBlockerLists/raw/master/list.txt?inline=false,,,
https://gitlab.com/ZeroDot1/CoinBlockerLists/raw/master/list_optional.txt?inline=false,,,
https://gitlab.com/ZeroDot1/CoinBlockerLists/raw/master/list_browser.txt?inline=false,,,
https://api.cybercure.ai/feed/get_ips?type=csv,,,
https://api.cybercure.ai/feed/get_url?type=csv,,,
https://api.cybercure.ai/feed/get_hash?type=csv,,,
http://www.ipspamlist.com/public_feeds.csv,,,
https://mirai.security.gives/data/ip_list.txt,,,
https://malsilo.gitlab.io/feeds/dumps/url_list.txt,,,
https://malsilo.gitlab.io/feeds/dumps/ip_list.txt,,,
https://malsilo.gitlab.io/feeds/dumps/domain_list.txt,,,
https://malshare.com/daily/malshare.current.all.txt,,,
https://benkow.cc/export_rat.php,,,
https://benkow.cc/export.php,,,
https://raw.githubusercontent.com/stamparm/ipsum/master/levels/1.txt,false positive level 7,,
https://raw.githubusercontent.com/stamparm/ipsum/master/levels/2.txt,false positive level 6,,
https://raw.githubusercontent.com/stamparm/ipsum/master/levels/3.txt,false positive level 5,,
https://raw.githubusercontent.com/stamparm/ipsum/master/levels/4.txt,false positive level 4,,
